Kd_Kecamatan,Kd_Kota,NamaKecamatan,Created_at,Modified_at,Delete_at
1171011,1171,JAYA BARU,2022-08-22 10:19:08.316474,,
1171012,1171,BANDA RAYA,2022-08-22 10:19:08.316474,,
1171020,1171,BAITURRAHMAN,2022-08-22 10:19:08.316474,,
1171021,1171,LUENG BATA,2022-08-22 10:19:08.316474,,
1171030,1171,KUTA ALAM,2022-08-22 10:19:08.316474,,
1171031,1171,KUTA RAJA,2022-08-22 10:19:08.316474,,
1171040,1171,SYIAH KUALA,2022-08-22 10:19:08.316474,,
1171041,1171,ULEE KARENG,2022-08-22 10:19:08.316474,,
1172010,1172,SUKAJAYA,2022-08-22 10:19:08.316474,,
1172020,1172,SUKAKARYA,2022-08-22 10:19:08.316474,,
1173010,1173,LANGSA TIMUR,2022-08-22 10:19:08.316474,,
1173011,1173,LANGSA LAMA,2022-08-22 10:19:08.316474,,
1173020,1173,LANGSA BARAT,2022-08-22 10:19:08.316474,,
1173021,1173,LANGSA BARO,2022-08-22 10:19:08.316474,,
1173030,1173,LANGSA KOTA,2022-08-22 10:19:08.316474,,
1174010,1174,BLANG MANGAT,2022-08-22 10:19:08.316474,,
1174020,1174,MUARA DUA,2022-08-22 10:19:08.316474,,
1174021,1174,MUARA SATU,2022-08-22 10:19:08.316474,,
1174030,1174,BANDA SAKTI,2022-08-22 10:19:08.316474,,
1175010,1175,SIMPANG KIRI,2022-08-22 10:19:08.316474,,
1175020,1175,PENANGGALAN,2022-08-22 10:19:08.316474,,
1175030,1175,RUNDENG,2022-08-22 10:19:08.316474,,
1175040,1175,SULTAN DAULAT,2022-08-22 10:19:08.316474,,
1175050,1175,LONGKIB,2022-08-22 10:19:08.316474,,
1201060,1201,IDANO GAWO,2022-08-22 10:19:08.316474,,
1201061,1201,BAWOLATO,2022-08-22 10:19:08.316474,,
1201062,1201,ULUGAWO,2022-08-22 10:19:08.316474,,
1201070,1201,GIDO,2022-08-22 10:19:08.316474,,
1201071,1201,SOGAEADU,2022-08-22 10:19:08.316474,,
1201081,1201,MA U,2022-08-22 10:19:08.316474,,
1201082,1201,SOMOLO - MOLO,2022-08-22 10:19:08.316474,,
1201130,1201,HILIDUHO,2022-08-22 10:19:08.316474,,
1201131,1201,HILI SERANGKAI,2022-08-22 10:19:08.316474,,
1201132,1201,BOTOMUZOI,2022-08-22 10:19:08.316474,,
1202010,1202,BATAHAN,2022-08-22 10:19:08.316474,,
1202011,1202,SINUNUKAN,2022-08-22 10:19:08.316474,,
1202020,1202,BATANG NATAL,2022-08-22 10:19:08.316474,,
1202021,1202,LINGGA BAYU,2022-08-22 10:19:08.316474,,
1202022,1202,RANTO BAEK,2022-08-22 10:19:08.316474,,
1202030,1202,KOTANOPAN,2022-08-22 10:19:08.316474,,
1202031,1202,ULU PUNGKUT,2022-08-22 10:19:08.316474,,
1202032,1202,TAMBANGAN,2022-08-22 10:19:08.316474,,
1202033,1202,LEMBAH SORIK MARAPI,2022-08-22 10:19:08.316474,,
1202034,1202,PUNCAK SORIK MARAPI,2022-08-22 10:19:08.316474,,
1202040,1202,MUARA SIPONGI,2022-08-22 10:19:08.316474,,
1202041,1202,PAKANTAN,2022-08-22 10:19:08.316474,,
1202050,1202,PANYABUNGAN,2022-08-22 10:19:08.316474,,
1202051,1202,PANYABUNGAN SELATAN,2022-08-22 10:19:08.316474,,
1202052,1202,PANYABUNGAN BARAT,2022-08-22 10:19:08.316474,,
1202053,1202,PANYABUNGAN UTARA,2022-08-22 10:19:08.316474,,
1202054,1202,PANYABUNGAN TIMUR,2022-08-22 10:19:08.316474,,
1202055,1202,HUTA BARGOT,2022-08-22 10:19:08.316474,,
1202060,1202,NATAL,2022-08-22 10:19:08.316474,,
1202070,1202,MUARA BATANG GADIS,2022-08-22 10:19:08.316474,,
1202080,1202,SIABU,2022-08-22 10:19:08.316474,,
1202081,1202,BUKIT MALINTANG,2022-08-22 10:19:08.316474,,
1202082,1202,NAGA JUANG,2022-08-22 10:19:08.316474,,
1203010,1203,BATANG ANGKOLA,2022-08-22 10:19:08.316474,,
1203011,1203,SAYUR MATINGGI,2022-08-22 10:19:08.316474,,
1203012,1203,TANO TOMBANGAN ANGKOLA,2022-08-22 10:19:08.316474,,
